Date,Room No,Floor_Cleaning_Start_Time,Floor_Cleaning_End_Time,Deep Cleaning Start Time,Deep Cleaning End Time,Floor Cleaning Duration,Deep Cleaning Duration,Avg Occupants,T_Occupancy,T_time,Max Occupancy,Min Occupancy,Camera1,Camera2,Camera3,raw,num_of_duplicate_rows
2022-03-12,M2 Purification Room,11:10:00,11:26:44,0,0,16.73333333,0,4,4,11:10:00,5,3,2,2,0,"[4, '11:10:00', 2, 2, 0.0]",3
2022-03-12,M2 Purification Room,11:10:00,11:26:44,0,0,16.73333333,0,4,5,11:20:00,5,3,3,2,0,"[5, '11:20:00', 3, 2, 0.0]",3
2022-03-12,M2 Purification Room,11:10:00,11:26:44,0,0,16.73333333,0,4,3,11:26:44,5,3,1,2,0,"[3, '11:26:44', 1, 2, 0.0]",3
2022-03-12,M2 Purification Room,0,0,9:00:00,9:40:00,0,40,3,2,9:00:00,3,2,1,1,0,"[2, '09:00:00', 1, 1, 0.0]",3
2022-03-12,M2 Purification Room,0,0,9:00:00,9:40:00,0,40,3,3,9:31:00,3,2,2,1,0,"[3, '09:31:00', 2, 1, 0.0]",3
2022-03-12,M2 Purification Room,0,0,9:00:00,9:40:00,0,40,3,3,9:40:00,3,2,1,2,0,"[3, '09:40:00', 1, 2, 0.0]",3
2022-03-13,M2 Purification Room,12:10:00,12:40:59,0,0,30.98333333,0,4,4,12:10:00,5,2,2,2,0,"[4, '12:10:00', 2, 2, 0.0]",4
2022-03-13,M2 Purification Room,12:10:00,12:40:59,0,0,30.98333333,0,4,5,12:29:10,5,2,3,2,0,"[5, '12:29:10', 3, 2, 0.0]",4
2022-03-13,M2 Purification Room,12:10:00,12:40:59,0,0,30.98333333,0,4,3,12:30:00,5,2,1,2,0,"[3, '12:30:00', 1, 2, 0.0]",4
2022-03-13,M2 Purification Room,12:10:00,12:40:59,0,0,30.98333333,0,4,2,12:40:59,5,2,1,1,0,"[2, '12:40:59', 1, 1, 0.0]",4
2022-03-14,M2 Purification Room,10:00:30,10:32:39,0,0,32.15,0,3,2,10:00:30,4,2,1,0,1,"[2, '10:00:30', 1, 0, 1.0]",2
2022-03-14,M2 Purification Room,10:00:30,10:32:39,0,0,32.15,0,3,4,10:32:39,4,2,1,2,1,"[4, '10:32:39', 1, 2, 1.0]",2
2022-03-14,M2 Purification Room,12:30:00,13:00:01,0,0,30.01666667,0,4,4,12:30:00,4,3,1,2,1,"[4, '12:30:00', 1, 2, 1.0]",2
2022-03-14,M2 Purification Room,12:30:00,13:00:01,0,0,30.01666667,0,4,3,13:00:01,4,3,1,2,0,"[3, '13:00:01', 1, 2, 0.0]",2
2022-03-14,M2 Purification Room,14:00:00,14:31:00,0,0,31,0,3,2,14:00:00,3,2,1,1,0,"[2, '14:00:00', 1, 1, 0.0]",2
2022-03-14,M2 Purification Room,14:00:00,14:31:00,0,0,31,0,3,3,14:31:00,3,2,1,0,2,"[3, '14:31:00', 1, 0, 2.0]",2
2022-03-14,M2 Purification Room,20:02:23,20:30:23,0,0,28,0,4,3,20:02:23,5,3,1,2,0,"[3, '20:02:23', 1, 2, 0.0]",2
2022-03-14,M2 Purification Room,20:02:23,20:30:23,0,0,28,0,4,5,20:30:23,5,3,5,0,0,"[5, '20:30:23', 5, 0, 0.0]",2
2022-03-14,M2 Purification Room,0,0,17:38:01,19:20:23,0,102.3666667,5,3,17:38:01,6,3,2,1,0,"[3, '17:38:01', 2, 1, 0.0]",3
2022-03-14,M2 Purification Room,0,0,17:38:01,19:20:23,0,102.3666667,5,6,18:02:23,6,3,6,0,0,"[6, '18:02:23', 6, 0, 0.0]",3
2022-03-14,M2 Purification Room,0,0,17:38:01,19:20:23,0,102.3666667,5,5,19:20:23,6,3,3,1,1,"[5, '19:20:23', 3, 1, 1.0]",3
2022-03-15,M2 Purification Room,9:31:00,10:02:11,0,0,31.18333333,0,4,6,9:31:00,6,2,3,3,0,"[6, '09:31:00', 3, 3, 0.0]",5
2022-03-15,M2 Purification Room,9:31:00,10:02:11,0,0,31.18333333,0,4,3,9:35:00,6,2,1,2,0,"[3, '09:35:00', 1, 2, 0.0]",5
2022-03-15,M2 Purification Room,9:31:00,10:02:11,0,0,31.18333333,0,4,2,9:38:30,6,2,0,2,0,"[2, '09:38:30', 0, 2, 0.0]",5
2022-03-15,M2 Purification Room,9:31:00,10:02:11,0,0,31.18333333,0,4,3,9:42:00,6,2,1,2,0,"[3, '09:42:00', 1, 2, 0.0]",5
2022-03-15,M2 Purification Room,9:31:00,10:02:11,0,0,31.18333333,0,4,3,10:02:11,6,2,1,2,0,"[3, '10:02:11', 1, 2, 0.0]",5
2022-03-15,M2 Purification Room,14:00:44,14:31:10,0,0,30.43333333,0,5,2,14:00:44,6,2,1,1,0,"[2, '14:00:44', 1, 1, 0.0]",4
2022-03-15,M2 Purification Room,14:00:44,14:31:10,0,0,30.43333333,0,5,6,14:10:00,6,2,2,4,0,"[6, '14:10:00', 2, 4, 0.0]",4
2022-03-15,M2 Purification Room,14:00:44,14:31:10,0,0,30.43333333,0,5,3,14:22:03,6,2,1,2,0,"[3, '14:22:03', 1, 2, 0.0]",4
2022-03-15,M2 Purification Room,14:00:44,14:31:10,0,0,30.43333333,0,5,6,14:31:10,6,2,4,2,0,"[6, '14:31:10', 4, 2, 0.0]",4
2022-03-16,M2 Purification Room,12:00:20,12:34:09,0,0,33.81666667,0,3,2,12:00:20,3,2,1,1,0,"[2, '12:00:20', 1, 1, 0.0]",3
2022-03-16,M2 Purification Room,12:00:20,12:34:09,0,0,33.81666667,0,3,3,12:17:40,3,2,1,2,0,"[3, '12:17:40', 1, 2, 0.0]",3
2022-03-16,M2 Purification Room,12:00:20,12:34:09,0,0,33.81666667,0,3,3,12:34:09,3,2,1,2,0,"[3, '12:34:09', 1, 2, 0.0]",3
2022-03-16,M2 Purification Room,14:06:00,14:34:23,0,0,28.38333333,0,3,3,14:06:00,3,3,1,2,0,"[3, '14:06:00', 1, 2, 0.0]",2
2022-03-16,M2 Purification Room,14:06:00,14:34:23,0,0,28.38333333,0,3,3,14:34:23,3,3,1,2,0,"[3, '14:34:23', 1, 2, 0.0]",2
2022-03-16,M2 Purification Room,0,0,9:00:00,9:42:12,0,42.2,3,3,9:00:00,3,2,1,2,0,"[3, '09:00:00', 1, 2, 0.0]",3
2022-03-16,M2 Purification Room,0,0,9:00:00,9:42:12,0,42.2,3,3,9:36:20,3,2,1,2,0,"[3, '09:36:20', 1, 2, 0.0]",3
2022-03-16,M2 Purification Room,0,0,9:00:00,9:42:12,0,42.2,3,2,9:42:12,3,2,0,2,0,"[2, '09:42:12', 0, 2, 0.0]",3
